"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL5400410";"";"None";"256.26";"0";"1.79";"34";"O=c1c2ccccc2[nH]n1Cc1ccc(O)cc1O";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5355298";"Inhibition of tyrosinase in human MNT-1 cell lysates using L-DOPA as substrate assessed as reduction in melanin formation preincubated for 10 mins followed by substrate addition and measured by microplate reader analysis";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"MNT-1";"Lysates";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5352459";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"TIME = 0.1667 hr";"";"";"100.0"
"CHEMBL5423130";"";"None";"284.27";"0";"3.09";"36";"Cc1c(C(=O)c2ccc(O)cc2O)oc2c(O)cccc12";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5355298";"Inhibition of tyrosinase in human MNT-1 cell lysates using L-DOPA as substrate assessed as reduction in melanin formation preincubated for 10 mins followed by substrate addition and measured by microplate reader analysis";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"MNT-1";"Lysates";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5352459";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"TIME = 0.1667 hr";"";"";"100.0"
"CHEMBL559673";"";"None";"266.30";"0";"3.39";"2";"O=C(/C=C/c1ccccc1O)/C=C/c1ccccc1O";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL1054042";"Inhibition of tyrosinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153005";"1";"Scientific Literature";"Eur J Med Chem";"2009";"None";"";"";"";""
"CHEMBL557311";"";"None";"354.40";"0";"4.02";"13";"COc1ccc(OC)c(/C=C/C(=O)/C=C/c2cc(OC)ccc2OC)c1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL1054042";"Inhibition of tyrosinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153005";"1";"Scientific Literature";"Eur J Med Chem";"2009";"None";"";"";"";""
"CHEMBL116438";"CURCUMIN";"3.0";"368.39";"0";"3.85";"Curcumin";"COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL1054042";"Inhibition of tyrosinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153005";"1";"Scientific Literature";"Eur J Med Chem";"2009";"None";"";"";"";""
"CHEMBL1794031";"";"None";"423.37";"0";"1.39";"3d";"CC[C@H](C)[C@H](NC(=O)OCc1cc(=O)c(O)co1)C(=O)OCc1cc(=O)c(O)co1";"IC50";"'='";"700.0";"nM";"6.16";"";"";"UO_0000065";"14.54";"0.28";"4.76";"3.72";"0";"CHEMBL813551";"Compound was evaluated for inhibition of tyrosinase enzyme.";"B";"BAO_0000357";"single protein format";"mushroom";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129764";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";"";"";"0.7"
"CHEMBL498291";"FORTUNEANOSIDE E";"None";"424.40";"1";"-0.04";"5, fortuneanoside E";"COc1cc(-c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c2)cc(OC)c1O";"IC50";"'='";"140000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL980232";"Inhibition of tyrosinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142601";"1";"Scientific Literature";"J Nat Prod";"2006";"None";"";"";"";"0.14"
"CHEMBL526100";"FORTUNEANOSIDE D";"None";"424.40";"1";"-0.04";"4, fortuneanoside D";"COc1cc(-c2cccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2O)cc(OC)c1O";"IC50";"'='";"70000.0";"nM";"4.16";"";"";"UO_0000065";"9.79";"0.19";"4.19";"2.62";"0";"CHEMBL980232";"Inhibition of tyrosinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142601";"1";"Scientific Literature";"J Nat Prod";"2006";"None";"";"";"";"0.07"
"CHEMBL25249";"";"None";"285.25";"0";"0.68";"2b";"CC(C)[C@H](NC(=O)OCc1cc(=O)c(O)co1)C(=O)O";"IC50";"'='";"16660.0";"nM";"4.78";"";"";"UO_0000065";"16.75";"0.33";"4.10";"3.79";"0";"CHEMBL813551";"Compound was evaluated for inhibition of tyrosinase enzyme.";"B";"BAO_0000357";"single protein format";"mushroom";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129764";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";"";"";"16.66"
"CHEMBL492818";"";"None";"290.27";"0";"2.03";"8";"O=C(CCc1ccc(O)c(O)c1)c1c(O)cc(O)cc1O";"IC50";"'='";"32000.0";"nM";"4.50";"";"";"UO_0000065";"15.49";"0.29";"2.46";"3.80";"0";"CHEMBL4723096";"Inhibition of tyrosinase in human neonatal foreskin epidermal melanocyte cells using L-DOPA as substrate preincubated for 24 hrs followed by cell lysis and subsequent substrate addition and measured after 1 hr by ELISA";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Melanocyte";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4715852";"1";"Scientific Literature";"J Med Chem";"2020";"None";"TIME = 25.0 hr";"INHIBITOR";"";"32.0"
"CHEMBL165";"RESVERATROL";"3.0";"228.25";"0";"2.97";"5";"Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1";"IC50";"'='";"9000.0";"nM";"5.05";"";"";"UO_0000065";"22.11";"0.41";"2.08";"8.31";"0";"CHEMBL4723119";"Inhibition of human tyrosinase expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4715852";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"INHIBITOR";"";"9.0"
"CHEMBL25640";"";"None";"381.29";"0";"0.36";"3a";"C[C@H](NC(=O)OCc1cc(=O)c(O)co1)C(=O)OCc1cc(=O)c(O)co1";"IC50";"'='";"3030.0";"nM";"5.52";"";"";"UO_0000065";"14.47";"0.28";"5.16";"3.33";"0";"CHEMBL813551";"Compound was evaluated for inhibition of tyrosinase enzyme.";"B";"BAO_0000357";"single protein format";"mushroom";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129764";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";"";"";"3.03"
"CHEMBL489989";"";"None";"510.49";"3";"-1.48";"3";"Oc1ccc(CCc2ccc(O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)cc2O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)c(O)c1";"IC50";"'='";"730.0";"nM";"6.14";"";"";"UO_0000065";"12.02";"0.23";"7.62";"3.09";"0";"CHEMBL1764166";"Inhibition of Tyrosinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1759884";"1";"Scientific Literature";"Eur J Med Chem";"2011";"None";"";"";"";"0.73"
"CHEMBL24765";"";"None";"333.30";"0";"1.27";"2e";"O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCc1cc(=O)c(O)co1";"IC50";"'='";"8000.0";"nM";"5.10";"";"";"UO_0000065";"15.29";"0.29";"3.83";"4.04";"0";"CHEMBL813551";"Compound was evaluated for inhibition of tyrosinase enzyme.";"B";"BAO_0000357";"single protein format";"mushroom";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129764";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";"";"";"8.0"
"CHEMBL350966";"";"None";"152.15";"0";"1.21";"1";"COc1ccc(C=O)c(O)c1";"IC50";"'='";"30000.0";"nM";"4.52";"";"";"UO_0000065";"29.73";"0.56";"3.31";"9.72";"0";"CHEMBL813550";"Inhibitory activity was evaluated against the oxidation of L-3,4-dihydroxyphenylalanine (L-DOPA) catalyzed by mushroom tyrosinase";"B";"BAO_0000357";"single protein format";"mushroom";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147427";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"30.0"
"CHEMBL3618460";"";"None";"506.50";"3";"-2.94";"12";"C[C@H](CCc1ccc(O)cc1O)O[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O";"IC50";"'='";"1980.0";"nM";"5.70";"";"";"UO_0000065";"11.26";"0.22";"8.64";"2.60";"0";"CHEMBL3619576";"Inhibition of tyrosinase (unknown origin) using L-DOPA as substrate assessed as formation of dopachrome by spectrophotometric analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3616365";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"None";"";"";"";"1.98"
"CHEMBL3100130";"";"None";"506.50";"3";"-2.94";"10";"C[C@H](CCc1ccc(O)cc1O)O[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O";"IC50";"'='";"1510.0";"nM";"5.82";"";"";"UO_0000065";"11.49";"0.23";"8.76";"2.66";"0";"CHEMBL3619576";"Inhibition of tyrosinase (unknown origin) using L-DOPA as substrate assessed as formation of dopachrome by spectrophotometric analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3616365";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"None";"";"";"";"1.51"
"CHEMBL5174709";"";"None";"288.34";"0";"3.66";"3b";"CCC(c1ccc(O)c(OC)c1)c1ccc(OC)cc1O";"IC50";"'='";"2830.0";"nM";"5.55";"";"";"UO_0000065";"19.24";"0.36";"1.89";"9.42";"0";"CHEMBL5147286";"Inhibition of tyrosinase (unknown origin) using L-DOPA as substrate incubated for 10 mins";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5143656";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2022";"None";"TIME = 0.1667 hr";"INHIBITOR";"";"2.83"
"CHEMBL201643";"CYCLOCARPOSIDE";"None";"768.98";"3";"1.75";"C1";"C[C@@H]1O[C@@H](O[C@H]2C[C@@H]3[C@]4(CC[C@]5(C)[C@@H]([C@@]6(C)CC[C@@H](C(C)(C)O)O6)[C@@H](O)C[C@@]35C)C[C@@]43CC[C@H](O[C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@H]23)[C@H](O)[C@H](O)[C@H]1O";"IC50";"'='";"102390.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL870599";"Inhibitory activity against tyrosinase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148597";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"102.39"
"CHEMBL4071801";"";"None";"354.40";"0";"3.97";"34";"COc1ccc(C2COc3c(ccc(O)c3CC=C(C)C)C2=O)c(O)c1";"IC50";"'='";"5100.0";"nM";"5.29";"";"";"UO_0000065";"14.93";"0.28";"1.32";"6.96";"0";"CHEMBL4053413";"Inhibition of tyrosinase (unknown origin) using L-tyrosine as substrate preincubated for 15 mins followed by substrate addition";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4052601";"1";"Scientific Literature";"J Nat Prod";"2017";"None";"";"";"";"5.1"
"CHEMBL5404839";"";"None";"266.30";"0";"3.48";"24";"CC1/C(=C\c2ccc(O)cc2O)C(=O)c2ccccc21";"IC50";"'='";"8200.0";"nM";"5.09";"";"";"UO_0000065";"19.10";"0.35";"1.61";"8.84";"0";"CHEMBL5355298";"Inhibition of tyrosinase in human MNT-1 cell lysates using L-DOPA as substrate assessed as reduction in melanin formation preincubated for 10 mins followed by substrate addition and measured by microplate reader analysis";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"MNT-1";"Lysates";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5352459";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"TIME = 0.1667 hr";"INHIBITOR";"";"8.2"
"CHEMBL3978212";"";"None";"271.23";"0";"1.41";"1";"O=C1/C(=C/c2ccc(=O)n(O)c2)Oc2cc(O)ccc21";"IC50";"'='";"15000.0";"nM";"4.82";"";"";"UO_0000065";"17.79";"0.33";"3.41";"5.43";"0";"CHEMBL5355298";"Inhibition of tyrosinase in human MNT-1 cell lysates using L-DOPA as substrate assessed as reduction in melanin formation preincubated for 10 mins followed by substrate addition and measured by microplate reader analysis";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"MNT-1";"Lysates";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5352459";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"TIME = 0.1667 hr";"INHIBITOR";"";"15.0"
"CHEMBL5432681";"";"None";"298.29";"0";"3.03";"19";"COc1ccc2c(c1C)O/C(=C\c1ccc(O)cc1O)C2=O";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5355298";"Inhibition of tyrosinase in human MNT-1 cell lysates using L-DOPA as substrate assessed as reduction in melanin formation preincubated for 10 mins followed by substrate addition and measured by microplate reader analysis";"B";"BAO_0000220";"subcellular format";"Homo sapiens";"None";"None";"MNT-1";"Lysates";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5352459";"1";"Scientific Literature";"Eur J Med Chem";"2023";"None";"TIME = 0.1667 hr";"";"";"100.0"
"CHEMBL1793857";"";"None";"299.28";"0";"1.07";"2d";"CC[C@H](C)[C@H](NC(=O)OCc1cc(=O)c(O)co1)C(=O)O";"IC50";"'='";"15350.0";"nM";"4.81";"";"";"UO_0000065";"16.08";"0.31";"3.74";"3.82";"0";"CHEMBL813551";"Compound was evaluated for inhibition of tyrosinase enzyme.";"B";"BAO_0000357";"single protein format";"mushroom";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129764";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";"";"";"15.35"
"CHEMBL462722";"GLABRENE";"None";"322.36";"0";"4.22";"15";"CC1(C)C=Cc2c(O)ccc(C3=Cc4ccc(O)cc4OC3)c2O1";"IC50";"'='";"7500.0";"nM";"5.12";"";"";"UO_0000065";"15.90";"0.29";"0.90";"8.70";"0";"CHEMBL4053413";"Inhibition of tyrosinase (unknown origin) using L-tyrosine as substrate preincubated for 15 mins followed by substrate addition";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4052601";"1";"Scientific Literature";"J Nat Prod";"2017";"None";"";"";"";"7.5"
"CHEMBL4741095";"";"None";"302.36";"0";"2.96";"Thiamidol-alkyne";"C#CCCCC(=O)Nc1nc(-c2ccc(O)cc2O)cs1";"IC50";"'='";"5600.0";"nM";"5.25";"";"";"UO_0000065";"17.37";"0.34";"2.29";"6.37";"0";"CHEMBL4732274";"Inhibition of human tyrosinase assessed as reduction in L-dopaquinone-MBTH complex formation using L-DOPA as substrate measured for 10 mins by spectrophotometric analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4732017";"1";"Scientific Literature";"RSC Med Chem";"2021";"None";"TIME = 0.1667 hr";"INHIBITOR";"";"5.6"
"CHEMBL25350";"";"None";"409.35";"0";"1.00";"3b";"CC(C)[C@H](NC(=O)OCc1cc(=O)c(O)co1)C(=O)OCc1cc(=O)c(O)co1";"IC50";"'='";"2390.0";"nM";"5.62";"";"";"UO_0000065";"13.73";"0.26";"4.62";"3.40";"0";"CHEMBL813551";"Compound was evaluated for inhibition of tyrosinase enzyme.";"B";"BAO_0000357";"single protein format";"mushroom";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129764";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";"";"";"2.39"
"CHEMBL562131";"";"None";"394.47";"0";"4.94";"33";"COc1ccc(OC)c(/C=C2\CCC/C(=C\c3cc(OC)ccc3OC)C2=O)c1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL1054042";"Inhibition of tyrosinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1973";"Tyrosinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153005";"1";"Scientific Literature";"Eur J Med Chem";"2009";"None";"";"";"";""
